Date, Open, High, Low, Close
01/14/16, 5960.97, 5960.97, 5829.26, 5918.23
01/13/16, 5929.24, 6011.13, 5929.24, 5960.97
01/12/16, 5871.83, 5985.80, 5866.67, 5929.24
01/11/16, 5912.44, 5941.93, 5871.83, 5871.83
01/08/16, 5954.08, 6013.38, 5912.44, 5912.44
01/07/16, 6073.38, 6073.38, 5887.97, 5954.08
01/06/16, 6137.24, 6137.24, 6018.65, 6073.38
01/05/16, 6093.43, 6166.26, 6079.23, 6137.24
01/04/16, 6242.32, 6242.32, 6071.01, 6093.43
01/01/16, 6242.32, 6278.31, 6233.03, 6242.32
12/31/15, 6274.05, 6278.31, 6233.03, 6242.32
12/30/15, 6314.57, 6314.57, 6261.48, 6274.05
12/29/15, 6254.64, 6314.57, 6245.24, 6314.57
12/28/15, 6254.64, 6259.86, 6236.85, 6254.64
12/25/15, 6254.64, 6259.86, 6236.85, 6254.64
12/24/15, 6240.98, 6259.86, 6236.85, 6254.64
12/23/15, 6083.10, 6248.50, 6083.10, 6240.98
12/22/15, 6034.84, 6090.58, 6031.82, 6083.10
12/21/15, 6052.42, 6113.96, 6034.84, 6034.84
12/18/15, 6102.54, 6105.57, 6051.74, 6052.42
12/17/15, 6061.19, 6160.78, 6061.19, 6102.54
12/16/15, 6017.79, 6089.31, 6016.25, 6061.19
12/15/15, 5874.06, 6036.68, 5874.06, 6017.79
12/14/15, 5952.78, 6009.92, 5871.88, 5874.06
12/11/15, 6088.05, 6088.05, 5949.84, 5952.78
12/10/15, 6126.68, 6127.09, 6079.96, 6088.05
12/09/15, 6135.22, 6175.75, 6101.22, 6126.68
