"Date","Price","Open","High","Low","Change %"
"Mar 07, 2012","50.280","50.370","50.762","50.240","-0.17%"
"Mar 06, 2012","50.365","49.840","50.390","49.665","1.07%"
"Mar 05, 2012","49.830","49.522","49.960","49.480","0.62%"
"Mar 02, 2012","49.525","49.185","49.605","49.165","0.60%"
"Mar 01, 2012","49.230","49.015","49.265","49.015","0.24%"
"Feb 29, 2012","49.110","49.080","49.110","48.830","0.29%"
"Feb 28, 2012","48.970","49.230","49.239","48.960","-0.41%"
"Feb 27, 2012","49.170","49.010","49.310","48.900","0.32%"
"Feb 24, 2012","49.015","49.205","49.205","48.940","-0.17%"
"Feb 23, 2012","49.100","49.230","49.330","49.100","-0.14%"
"Feb 22, 2012","49.170","49.315","49.315","49.130","-0.11%"
"Feb 21, 2012","49.225","49.220","49.335","49.065","0.14%"
"Feb 20, 2012","49.155","49.335","49.335","49.115","-0.34%"
"Feb 17, 2012","49.325","49.300","49.365","49.145","0.07%"
"Feb 16, 2012","49.290","49.295","49.440","49.290","-0.19%"
"Feb 15, 2012","49.385","49.375","49.415","49.195","-0.21%"
"Feb 14, 2012","49.490","49.200","49.490","49.100","0.69%"
"Feb 13, 2012","49.150","49.360","49.550","49.130","-0.43%"
"Feb 10, 2012","49.360","49.500","49.770","49.350","-0.17%"
"Feb 09, 2012","49.445","49.155","49.525","49.055","0.75%"
"Feb 08, 2012","49.075","49.215","49.265","48.965","-0.10%"
"Feb 07, 2012","49.125","49.070","49.255","48.830","0.13%"
"Feb 06, 2012","49.060","48.605","49.145","48.605","0.93%"
"Feb 03, 2012","48.610","49.030","49.200","48.610","-0.87%"
"Feb 02, 2012","49.035","49.135","49.270","48.960","-0.21%"
"Feb 01, 2012","49.140","49.510","49.675","49.080","-0.76%"
"Jan 31, 2012","49.515","49.615","49.755","49.335","-0.17%"
